Player_Name,Role_Desc,Player_team,Opposit_Team,is_manofThematch,pscore,City_Name
GJ Maxwell,Player,Kings XI Punjab,Rising Pune Supergiants,0,1,Kings XI Punjab
SW Tait,Player,Rajasthan Royals,Kings XI Punjab,0,0,Kings XI Punjab
S Kaul,Player,Sunrisers Hyderabad,Kings XI Punjab,0,0,Sunrisers Hyderabad
DB Das,Player,Kolkata Knight Riders,Rajasthan Royals,0,1,Kolkata Knight Riders
V Kohli,Captain,Royal Challengers Bangalore,Sunrisers Hyderabad,1,3,Sunrisers Hyderabad
MK Pandey,Player,Pune Warriors,Chennai Super Kings,0,0,Pune Warriors
MM Patel,Player,Rajasthan Royals,Delhi Daredevils,0,1,Rajasthan Royals
MS Gony,Player,Chennai Super Kings,Rajasthan Royals,0,1,Chennai Super Kings
MS Dhoni,CaptainKeeper,Chennai Super Kings,Royal Challengers Bangalore,1,0,Royal Challengers Bangalore
R Sharma,Player,Pune Warriors,Rajasthan Royals,0,0,Rajasthan Royals
LR Shukla,Player,Kolkata Knight Riders,Chennai Super Kings,0,1,Kolkata Knight Riders
V Kohli,Captain,Royal Challengers Bangalore,Kolkata Knight Riders,0,3,Kolkata Knight Riders
MC Henriques,Player,Sunrisers Hyderabad,Mumbai Indians,0,0,Sunrisers Hyderabad
RV Uthappa,Keeper,Pune Warriors,Rajasthan Royals,0,0,Pune Warriors
PP Ojha,Player,Mumbai Indians,Rajasthan Royals,0,0,Rajasthan Royals
V Sehwag,Captain,Delhi Daredevils,Mumbai Indians,0,4,Delhi Daredevils
R Dravid,Player,Royal Challengers Bangalore,Kings XI Punjab,0,0,Royal Challengers Bangalore
MM Sharma,Player,Kings XI Punjab,Rising Pune Supergiants,0,0,Kings XI Punjab
JR Hopes,Captain,Delhi Daredevils,Chennai Super Kings,0,3,Chennai Super Kings
KD Karthik,Keeper,Mumbai Indians,Delhi Daredevils,1,1,Mumbai Indians
NM Coulter-Nile,Player,Delhi Daredevils,Mumbai Indians,0,0,Mumbai Indians
S Dhawan,Player,Mumbai Indians,Royal Challengers Bangalore,0,0,Royal Challengers Bangalore
IK Pathan,Player,Rising Pune Supergiants,Kings XI Punjab,0,0,Rising Pune Supergiants
R Dravid,Player,Royal Challengers Bangalore,Chennai Super Kings,0,0,Royal Challengers Bangalore
DB Das,Player,Kolkata Knight Riders,Pune Warriors,0,1,Kolkata Knight Riders
DW Steyn,Player,Deccan Chargers,Rajasthan Royals,0,0,Rajasthan Royals
S Dhawan,Captain,Sunrisers Hyderabad,Rajasthan Royals,0,3,Sunrisers Hyderabad
NV Ojha,Keeper,Rajasthan Royals,Kolkata Knight Riders,0,0,Kolkata Knight Riders
AD Russell,Player,Kolkata Knight Riders,Rising Pune Supergiants,0,0,Rising Pune Supergiants
R Vinay Kumar,Player,Kochi Tuskers Kerala,Kolkata Knight Riders,0,0,Kochi Tuskers Kerala
TL Suman,Player,Deccan Chargers,Mumbai Indians,0,0,Mumbai Indians
DW Steyn,Player,Deccan Chargers,Kings XI Punjab,0,0,Kings XI Punjab
KA Pollard,Player,Mumbai Indians,Delhi Daredevils,0,1,Mumbai Indians
AB de Villiers,Player,Royal Challengers Bangalore,Mumbai Indians,0,0,Mumbai Indians
PC Valthaty,Player,Kings XI Punjab,Delhi Daredevils,0,0,Kings XI Punjab
KK Nair,Player,Delhi Daredevils,Gujarat Lions,0,0,Gujarat Lions
R Vinay Kumar,Player,Royal Challengers Bangalore,Rajasthan Royals,0,1,Royal Challengers Bangalore
NV Ojha,Keeper,Sunrisers Hyderabad,Royal Challengers Bangalore,0,0,Royal Challengers Bangalore
V Kohli,Player,Royal Challengers Bangalore,Delhi Daredevils,1,0,Delhi Daredevils
CL White,Captain,Deccan Chargers,Rajasthan Royals,0,4,Deccan Chargers
PA Patel,Keeper,Mumbai Indians,Delhi Daredevils,0,0,Delhi Daredevils
M Vijay,Player,Chennai Super Kings,Kolkata Knight Riders,0,0,Kolkata Knight Riders
KV Sharma,Player,Sunrisers Hyderabad,Kolkata Knight Riders,0,0,Sunrisers Hyderabad
BB McCullum,Player,Kolkata Knight Riders,Chennai Super Kings,0,0,Chennai Super Kings
AM Rahane,Player,Rajasthan Royals,Royal Challengers Bangalore,0,0,Royal Challengers Bangalore
Iqbal Abdulla,Player,Rajasthan Royals,Kolkata Knight Riders,0,0,Kolkata Knight Riders
MR Marsh,Player,Rising Pune Supergiants,Mumbai Indians,0,0,Mumbai Indians
SR Tendulkar,Captain,Mumbai Indians,Chennai Super Kings,0,3,Chennai Super Kings
AM Rahane,Player,Rising Pune Supergiants,Royal Challengers Bangalore,0,0,Rising Pune Supergiants
SK Raina,Player,Chennai Super Kings,Royal Challengers Bangalore,0,0,Royal Challengers Bangalore
P Kumar,Player,Royal Challengers Bangalore,Kings XI Punjab,0,0,Kings XI Punjab
MK Tiwary,Player,Rising Pune Supergiants,Sunrisers Hyderabad,0,0,Sunrisers Hyderabad
MM Sharma,Player,Chennai Super Kings,Pune Warriors,0,0,Pune Warriors
M Vijay,Player,Chennai Super Kings,Pune Warriors,0,0,Pune Warriors
MM Patel,Player,Rajasthan Royals,Royal Challengers Bangalore,0,0,Royal Challengers Bangalore
GH Vihari,Player,Sunrisers Hyderabad,Pune Warriors,0,0,Pune Warriors
Shakib Al Hasan,Player,Kolkata Knight Riders,Gujarat Lions,0,1,Kolkata Knight Riders
JD Unadkat,Player,Rising Pune Supergiants,Royal Challengers Bangalore,0,0,Rising Pune Supergiants
SS Iyer,Player,Delhi Daredevils,Kolkata Knight Riders,0,1,Delhi Daredevils
DA Warner,Captain,Sunrisers Hyderabad,Rising Pune Supergiants,0,3,Rising Pune Supergiants
MS Dhoni,CaptainKeeper,Chennai Super Kings,Kings XI Punjab,0,0,Chennai Super Kings
AT Rayudu,Keeper,Mumbai Indians,Deccan Chargers,0,1,Deccan Chargers
