Player_Name,Role_Desc,Player_team,Opposit_Team,is_manofThematch,pscore,City_Name,
R Dravid,Captain,Royal Challengers Bangalore,Kolkata Knight Riders,FALSE,4,Royal Challengers Bangalore,
W Jaffer,Player,Royal Challengers Bangalore,Kolkata Knight Riders,FALSE,1,Royal Challengers Bangalore,
V Kohli,Player,Royal Challengers Bangalore,Kolkata Knight Riders,FALSE,1,Royal Challengers Bangalore,
JH Kallis,Player,Royal Challengers Bangalore,Kolkata Knight Riders,FALSE,1,Royal Challengers Bangalore,
CL White,Player,Royal Challengers Bangalore,Kolkata Knight Riders,FALSE,1,Royal Challengers Bangalore,
MV Boucher,Keeper,Royal Challengers Bangalore,Kolkata Knight Riders,FALSE,1,Royal Challengers Bangalore,
B Akhil,Player,Royal Challengers Bangalore,Kolkata Knight Riders,FALSE,1,Royal Challengers Bangalore,
AA Noffke,Player,Royal Challengers Bangalore,Kolkata Knight Riders,FALSE,1,Royal Challengers Bangalore,
P Kumar,Player,Royal Challengers Bangalore,Kolkata Knight Riders,FALSE,1,Royal Challengers Bangalore,
Z Khan,Player,Royal Challengers Bangalore,Kolkata Knight Riders,FALSE,1,Royal Challengers Bangalore,
SB Joshi,Player,Royal Challengers Bangalore,Kolkata Knight Riders,FALSE,1,Royal Challengers Bangalore,
SC Ganguly,Captain,Kolkata Knight Riders,Royal Challengers Bangalore,FALSE,3,Royal Challengers Bangalore,
BB McCullum,Player,Kolkata Knight Riders,Royal Challengers Bangalore,TRUE,0,Royal Challengers Bangalore,
RT Ponting,Player,Kolkata Knight Riders,Royal Challengers Bangalore,FALSE,0,Royal Challengers Bangalore,
DJ Hussey,Player,Kolkata Knight Riders,Royal Challengers Bangalore,FALSE,0,Royal Challengers Bangalore,
Mohammad Hafeez,Player,Kolkata Knight Riders,Royal Challengers Bangalore,FALSE,0,Royal Challengers Bangalore,
WP Saha,Keeper,Kolkata Knight Riders,Royal Challengers Bangalore,FALSE,0,Royal Challengers Bangalore,
LR Shukla,Player,Kolkata Knight Riders,Royal Challengers Bangalore,FALSE,0,Royal Challengers Bangalore,
AB Agarkar,Player,Kolkata Knight Riders,Royal Challengers Bangalore,FALSE,0,Royal Challengers Bangalore,
M Kartik,Player,Kolkata Knight Riders,Royal Challengers Bangalore,FALSE,0,Royal Challengers Bangalore,
I Sharma,Player,Kolkata Knight Riders,Royal Challengers Bangalore,FALSE,0,Royal Challengers Bangalore,
AB Dinda,Player,Kolkata Knight Riders,Royal Challengers Bangalore,FALSE,0,Royal Challengers Bangalore,
K Goel,Player,Kings XI Punjab,Chennai Super Kings,FALSE,1,Kings XI Punjab,
JR Hopes,Player,Kings XI Punjab,Chennai Super Kings,FALSE,1,Kings XI Punjab,
KC Sangakkara,Keeper,Kings XI Punjab,Chennai Super Kings,FALSE,1,Kings XI Punjab,
Yuvraj Singh,Captain,Kings XI Punjab,Chennai Super Kings,FALSE,4,Kings XI Punjab,
SM Katich,Player,Kings XI Punjab,Chennai Super Kings,FALSE,1,Kings XI Punjab,
IK Pathan,Player,Kings XI Punjab,Chennai Super Kings,FALSE,1,Kings XI Punjab,
B Lee,Player,Kings XI Punjab,Chennai Super Kings,FALSE,1,Kings XI Punjab,
PP Chawla,Player,Kings XI Punjab,Chennai Super Kings,FALSE,1,Kings XI Punjab,
WA Mota,Player,Kings XI Punjab,Chennai Super Kings,FALSE,1,Kings XI Punjab,
S Sreesanth,Player,Kings XI Punjab,Chennai Super Kings,FALSE,1,Kings XI Punjab,
P Dharmani,Player,Kings XI Punjab,Chennai Super Kings,FALSE,1,Kings XI Punjab,
PA Patel,Player,Chennai Super Kings,Kings XI Punjab,FALSE,0,Kings XI Punjab,
ML Hayden,Player,Chennai Super Kings,Kings XI Punjab,FALSE,0,Kings XI Punjab,
MEK Hussey,Player,Chennai Super Kings,Kings XI Punjab,TRUE,0,Kings XI Punjab,
MS Dhoni,CaptainKeeper,Chennai Super Kings,Kings XI Punjab,FALSE,0,Kings XI Punjab,
SK Raina,Player,Chennai Super Kings,Kings XI Punjab,FALSE,0,Kings XI Punjab,
JDP Oram,Player,Chennai Super Kings,Kings XI Punjab,FALSE,0,Kings XI Punjab,
S Badrinath,Player,Chennai Super Kings,Kings XI Punjab,FALSE,0,Kings XI Punjab,
Joginder Sharma,Player,Chennai Super Kings,Kings XI Punjab,FALSE,0,Kings XI Punjab,
MS Gony,Player,Chennai Super Kings,Kings XI Punjab,FALSE,0,Kings XI Punjab,
M Muralitharan,Player,Chennai Super Kings,Kings XI Punjab,FALSE,0,Kings XI Punjab,
P Amarnath,Player,Chennai Super Kings,Kings XI Punjab,FALSE,0,Kings XI Punjab,
G Gambhir,Player,Delhi Daredevils,Rajasthan Royals,FALSE,1,Delhi Daredevils,
V Sehwag,Captain,Delhi Daredevils,Rajasthan Royals,FALSE,4,Delhi Daredevils,
S Dhawan,Player,Delhi Daredevils,Rajasthan Royals,FALSE,1,Delhi Daredevils,
MK Tiwary,Player,Delhi Daredevils,Rajasthan Royals,FALSE,1,Delhi Daredevils,
KD Karthik,Keeper,Delhi Daredevils,Rajasthan Royals,FALSE,1,Delhi Daredevils,
R Bhatia,Player,Delhi Daredevils,Rajasthan Royals,FALSE,1,Delhi Daredevils,
MF Maharoof,Player,Delhi Daredevils,Rajasthan Royals,TRUE,1,Delhi Daredevils,
GD McGrath,Player,Delhi Daredevils,Rajasthan Royals,FALSE,1,Delhi Daredevils,
M Manhas,Player,Delhi Daredevils,Rajasthan Royals,FALSE,1,Delhi Daredevils,
DL Vettori,Player,Delhi Daredevils,Rajasthan Royals,FALSE,1,Delhi Daredevils,
B Geeves,Player,Delhi Daredevils,Rajasthan Royals,FALSE,1,Delhi Daredevils,
T Kohli,Player,Rajasthan Royals,Delhi Daredevils,FALSE,0,Delhi Daredevils,
YK Pathan,Player,Rajasthan Royals,Delhi Daredevils,FALSE,0,Delhi Daredevils,
SR Watson,Player,Rajasthan Royals,Delhi Daredevils,FALSE,0,Delhi Daredevils,
M Kaif,Player,Rajasthan Royals,Delhi Daredevils,FALSE,0,Delhi Daredevils,
DS Lehmann,Player,Rajasthan Royals,Delhi Daredevils,FALSE,0,Delhi Daredevils,
RA Jadeja,Player,Rajasthan Royals,Delhi Daredevils,FALSE,0,Delhi Daredevils,
M Rawat,Keeper,Rajasthan Royals,Delhi Daredevils,FALSE,0,Delhi Daredevils,
D Salunkhe,Player,Rajasthan Royals,Delhi Daredevils,FALSE,0,Delhi Daredevils,
SK Warne,Captain,Rajasthan Royals,Delhi Daredevils,FALSE,3,Delhi Daredevils,
SK Trivedi,Player,Rajasthan Royals,Delhi Daredevils,FALSE,0,Delhi Daredevils,
MM Patel,Player,Rajasthan Royals,Delhi Daredevils,FALSE,0,Delhi Daredevils,
L Ronchi,Keeper,Mumbai Indians,Royal Challengers Bangalore,FALSE,1,Mumbai Indians,
ST Jayasuriya,Player,Mumbai Indians,Royal Challengers Bangalore,FALSE,1,Mumbai Indians,
DJ Thornely,Player,Mumbai Indians,Royal Challengers Bangalore,FALSE,1,Mumbai Indians,
RV Uthappa,Player,Mumbai Indians,Royal Challengers Bangalore,FALSE,1,Mumbai Indians,
PR Shah,Player,Mumbai Indians,Royal Challengers Bangalore,FALSE,1,Mumbai Indians,
AM Nayar,Player,Mumbai Indians,Royal Challengers Bangalore,FALSE,1,Mumbai Indians,
SM Pollock,Player,Mumbai Indians,Royal Challengers Bangalore,FALSE,1,Mumbai Indians,
Harbhajan Singh,Captain,Mumbai Indians,Royal Challengers Bangalore,FALSE,4,Mumbai Indians,
MA Khote,Player,Mumbai Indians,Royal Challengers Bangalore,FALSE,1,Mumbai Indians,
A Nehra,Player,Mumbai Indians,Royal Challengers Bangalore,FALSE,1,Mumbai Indians,
DS Kulkarni,Player,Mumbai Indians,Royal Challengers Bangalore,FALSE,1,Mumbai Indians,
R Dravid,Captain,Royal Challengers Bangalore,Mumbai Indians,FALSE,3,Mumbai Indians,
V Kohli,Player,Royal Challengers Bangalore,Mumbai Indians,FALSE,0,Mumbai Indians,
JH Kallis,Player,Royal Challengers Bangalore,Mumbai Indians,FALSE,0,Mumbai Indians,
MV Boucher,Keeper,Royal Challengers Bangalore,Mumbai Indians,TRUE,0,Mumbai Indians,
B Akhil,Player,Royal Challengers Bangalore,Mumbai Indians,FALSE,0,Mumbai Indians,
P Kumar,Player,Royal Challengers Bangalore,Mumbai Indians,FALSE,0,Mumbai Indians,
Z Khan,Player,Royal Challengers Bangalore,Mumbai Indians,FALSE,0,Mumbai Indians,
SB Joshi,Player,Royal Challengers Bangalore,Mumbai Indians,FALSE,0,Mumbai Indians,
S Chanderpaul,Player,Royal Challengers Bangalore,Mumbai Indians,FALSE,0,Mumbai Indians,
LRPL Taylor,Player,Royal Challengers Bangalore,Mumbai Indians,FALSE,0,Mumbai Indians,
R Vinay Kumar,Player,Royal Challengers Bangalore,Mumbai Indians,FALSE,0,Mumbai Indians,
AC Gilchrist,Keeper,Deccan Chargers,Kolkata Knight Riders,FALSE,0,Kolkata Knight Riders,
Y Venugopal Rao,Player,Deccan Chargers,Kolkata Knight Riders,FALSE,0,Kolkata Knight Riders,
VVS Laxman,Captain,Deccan Chargers,Kolkata Knight Riders,FALSE,3,Kolkata Knight Riders,
A Symonds,Player,Deccan Chargers,Kolkata Knight Riders,FALSE,0,Kolkata Knight Riders,
RG Sharma,Player,Deccan Chargers,Kolkata Knight Riders,FALSE,0,Kolkata Knight Riders,
SB Styris,Player,Deccan Chargers,Kolkata Knight Riders,FALSE,0,Kolkata Knight Riders,
SB Bangar,Player,Deccan Chargers,Kolkata Knight Riders,FALSE,0,Kolkata Knight Riders,
WPUJC Vaas,Player,Deccan Chargers,Kolkata Knight Riders,FALSE,0,Kolkata Knight Riders,
RP Singh,Player,Deccan Chargers,Kolkata Knight Riders,FALSE,0,Kolkata Knight Riders,
PP Ojha,Player,Deccan Chargers,Kolkata Knight Riders,FALSE,0,Kolkata Knight Riders,
UT Yadav,Player,Deccan Chargers,Kolkata Knight Riders,FALSE,0,Kolkata Knight Riders,
SC Ganguly,Captain,Kolkata Knight Riders,Deccan Chargers,FALSE,4,Kolkata Knight Riders,
BB McCullum,Player,Kolkata Knight Riders,Deccan Chargers,FALSE,1,Kolkata Knight Riders,
RT Ponting,Player,Kolkata Knight Riders,Deccan Chargers,FALSE,1,Kolkata Knight Riders,Royal Challengers Bangalore
DJ Hussey,Player,Kolkata Knight Riders,Deccan Chargers,TRUE,1,Kolkata Knight Riders,Rajasthan Royals
Mohammad Hafeez,Player,Kolkata Knight Riders,Deccan Chargers,FALSE,1,Kolkata Knight Riders,Mumbai Indians
WP Saha,Keeper,Kolkata Knight Riders,Deccan Chargers,FALSE,1,Kolkata Knight Riders,Royal Challengers Bangalore
LR Shukla,Player,Kolkata Knight Riders,Deccan Chargers,FALSE,1,Kolkata Knight Riders,Mumbai Indians
AB Agarkar,Player,Kolkata Knight Riders,Deccan Chargers,FALSE,1,Kolkata Knight Riders,Mumbai Indians
M Kartik,Player,Kolkata Knight Riders,Deccan Chargers,FALSE,1,Kolkata Knight Riders,Pune Warriors
I Sharma,Player,Kolkata Knight Riders,Deccan Chargers,FALSE,1,Kolkata Knight Riders,Chennai Super Kings
AB Dinda,Player,Kolkata Knight Riders,Deccan Chargers,FALSE,1,Kolkata Knight Riders,Chennai Super Kings
YK Pathan,Player,Rajasthan Royals,Kings XI Punjab,FALSE,1,Rajasthan Royals,Sunrisers Hyderabad
SR Watson,Player,Rajasthan Royals,Kings XI Punjab,TRUE,1,Rajasthan Royals,Delhi Daredevils
M Kaif,Player,Rajasthan Royals,Kings XI Punjab,FALSE,1,Rajasthan Royals,Delhi Daredevils
DS Lehmann,Player,Rajasthan Royals,Kings XI Punjab,FALSE,1,Rajasthan Royals,Pune Warriors
RA Jadeja,Player,Rajasthan Royals,Kings XI Punjab,FALSE,1,Rajasthan Royals,Chennai Super Kings
D Salunkhe,Player,Rajasthan Royals,Kings XI Punjab,FALSE,1,Rajasthan Royals,Deccan Chargers
