"Player_Name","Role_Desc","Player_team","Opposit_Team","is_manofThematch","pscore","City_Name"
"R Dravid","Captain","Royal Challengers Bangalore","Kolkata Knight Riders","0","4","Royal Challengers Bangalore"
"V Kohli","Player","Royal Challengers Bangalore","Kolkata Knight Riders","0","1","Royal Challengers Bangalore"
"JH Kallis","Player","Royal Challengers Bangalore","Kolkata Knight Riders","0","1","Royal Challengers Bangalore"
"CL White","Player","Royal Challengers Bangalore","Kolkata Knight Riders","0","1","Royal Challengers Bangalore"
"MV Boucher","Keeper","Royal Challengers Bangalore","Kolkata Knight Riders","0","1","Royal Challengers Bangalore"
"P Kumar","Player","Royal Challengers Bangalore","Kolkata Knight Riders","0","1","Royal Challengers Bangalore"
"Z Khan","Player","Royal Challengers Bangalore","Kolkata Knight Riders","0","1","Royal Challengers Bangalore"
"SC Ganguly","Captain","Kolkata Knight Riders","Royal Challengers Bangalore","0","3","Royal Challengers Bangalore"
"BB McCullum","Player","Kolkata Knight Riders","Royal Challengers Bangalore","1","0","Royal Challengers Bangalore"
"DJ Hussey","Player","Kolkata Knight Riders","Royal Challengers Bangalore","0","0","Royal Challengers Bangalore"
"WP Saha","Keeper","Kolkata Knight Riders","Royal Challengers Bangalore","0","0","Royal Challengers Bangalore"
"LR Shukla","Player","Kolkata Knight Riders","Royal Challengers Bangalore","0","0","Royal Challengers Bangalore"
"AB Agarkar","Player","Kolkata Knight Riders","Royal Challengers Bangalore","0","0","Royal Challengers Bangalore"
"M Kartik","Player","Kolkata Knight Riders","Royal Challengers Bangalore","0","0","Royal Challengers Bangalore"
"I Sharma","Player","Kolkata Knight Riders","Royal Challengers Bangalore","0","0","Royal Challengers Bangalore"
"AB Dinda","Player","Kolkata Knight Riders","Royal Challengers Bangalore","0","0","Royal Challengers Bangalore"
"K Goel","Player","Kings XI Punjab","Chennai Super Kings","0","1","Kings XI Punjab"
"JR Hopes","Player","Kings XI Punjab","Chennai Super Kings","0","1","Kings XI Punjab"
